R_432k_100mW_0603;H4;R;N/A;RES SMD 432K OHM 1% 1/10W 0603;https://www.digikey.tw/product-detail/zh/yageo/RC0603FR-07432KL/311-432KHRCT-ND;;;;;
R_46.4k_100mW_0603;H4;R;N/A;RES SMD 46.4K OHM 1% 1/10W 0603;https://www.digikey.tw/product-detail/zh/yageo/RC0603FR-0746K4L/311-46.4KHRDKR-ND;;;;;
R_48.7k_100mW_0603_0.5%;H4;R;N/A;RES SMD 48.7KOHM 0.5% 1/10W 0603;https://www.digikey.tw/product-detail/zh/yageo/RT0603DRE0748K7L/311-2594-1-ND;;;;;
R_5.1k_100mW_0603;book;R;N/A;N/A;Guang Hua;;;;;
R_499k_100mW_0603;H4;R;N/A;N/A;https://www.digikey.tw/product-detail/zh/stackpole-electronics-inc/RMCF0603FT499K/RMCF0603FT499KCT-ND/1943138;None;None;None; None; None
R_59k_100mW_0603;H4;R;N/A;RES SMD 59K OHM 1% 1/10W 0603;https://www.digikey.tw/product-detail/zh/yageo/RC0603FR-0759KL/311-59.0KHRCT-ND;;;;;
R_6.8k_100mW_0603;book;R;N/A;N/A;Guang Hua;;;;;
R_61.9k_100mW_0603;H4;R;N/A;RES SMD 61.9K OHM 1% 1/10W 0603;https://www.digikey.tw/product-detail/zh/yageo/RC0603FR-0761K9L/311-61.9KHRCT-ND;;;;;
R_9.65k_100mW_0603; N/A;R;N/A;N/A;Need to check;;;;;
D_LED_GREEN_0603;E3;DIODE;N/A;LED GREEN CLEAR SMD;https://www.digikey.tw/product-detail/zh/w%C3%BCrth-elektronik/150060VS75000/732-4980-1-ND/4489904;None;None;;; None
D_LED_RED_0603;E3;DIODE;N/A;LED RED CLEAR SMD;https://www.digikey.tw/product-detail/zh/lite-on-inc/LTST-C191KRKT/160-1447-1-ND;;;;;
R_33R_100mW_0603;book;R;N/A;N/A;Guang Hua;;;;;
R_47k_100mW_0603;book;R;N/A;N/A;Guang Hua;;;;;
R_9.53k_100mW_0603;H4;R;N/A;RES SMD 9.53KOHM 0.1% 1/10W 0603;https://www.digikey.tw/product-detail/zh/panasonic-electronic-components/ERA-3AEB9531V/P9-53KDBCT-ND/3076089;None;None;None;  None;  None
D_ZENER_18V_500mW_SOD123;H8;DIODE;N/A;DIODE ZENER 18V 500MW SOD123;光華;None;None;https://www.digikey.tw/product-detail/zh/diodes-incorporated/BZT52C18-7-F/BZT52C18-FDICT-ND/;  None;  None
D_TVS_ESD401DPYR_X1SON;H6;DIODE;N/A;TVS DIODE 5.5V 24V 2X1SON;https://www.digikey.tw/product-detail/zh/texas-instruments/ESD401DPYR/296-47160-1-ND/7650254;;;;;
D_Schottky_SD107WS_SOD323;E3;DIODE;N/A;DIODE SCHOTTKY 30V 100MA SOD323;https://www.digikey.tw/product-detail/zh/diodes-incorporated/SD107WS-7-F/SD107WS-FDICT-ND;;;;;
D_TVS_SMAJ20CA_DO214AC;E3;DIODE;N/A;TVS DIODE 20V 32.4V DO214AC;https://www.digikey.tw/product-detail/zh/micro-commercial-co/SMAJ20CA-TP/SMAJ20CA-TPMSCT-ND/;None;None;None; None; None
D_TVS_SMAJ11CA_DO214AC;H8;DIODE;N/A;TVS DIODE 11V  DO214AC;https://www.digikey.tw/product-detail/zh/littelfuse-inc/SMAJ11CA/SMAJ11CALFCT-ND/;None;None;None;    None;    None
D_TVS_PESD15VL2BT_SOT23;H8;DIODE;N/A;TVS DIODE 11V 18.2V DO214AC;https://www.digikey.tw/product-detail/zh/nexperia-usa-inc/PESD15VL2BT-215/1727-3813-1-ND/;None;None;None; None; None
X_12MHz_NA_HC49S;E11-1;CRYSTAL;N/A;12M XTAL;Guang Hua;;;;;
IC_LDO_TPS73525DRB_SON8;E3;LDO;N/A;IC REG LINEAR 2.5V 500MA 8SON;https://www.digikey.tw/product-detail/zh/texas-instruments/TPS73525DRBR/296-23647-1-ND;;;;;
IC_EEPROM_93LC56BT_SOT23-6(phase out);E2;EERPOM;N/A;IC EEPROM 2K SPI 2MHZ SOT23-6;https://www.mouser.tw/ProductDetail/Microchip-Technology/93LC56BT-I-OT?qs=lQv0JY93vrc7B5Rh5LPW8g%3D%3D;None;None;None;  https://www.mouser.tw/ProductDetail/Microchip-Technology/93AA56BT-I-OT?qs=hul3WK2zl4p%252B6%2FsdRU7j4A%3D%3D;  None
IC_DIGITAL_FT232HL_LQFP48;E2;DIGITAL;N/A;IC USB TO UART/FIFO 48LQFP;https://www.digikey.tw/product-detail/zh/ftdi-future-technology-devices-international-ltd/FT232HL-REEL/768-1101-1-ND;None;None;None; None; None
IC_OPAMP_LM7171_SO8;C4-2;OPAMP;N/A;High speed opamp with 200MHz bandwidth and FB pin;https://www.digikey.tw/product-detail/zh/texas-instruments/LM7171AIMX-NOPB/296-35428-1-ND/3739132;None;None;None; None; None
IC_DIGITAL_MAX3232CDR_SO16;B8-1;DIGITAL;N/A;IC DRVR/RCVR MULTCH RS232 16SOIC;https://www.mouser.tw/ProductDetail/Texas-Instruments/MAX3232CDR?qs=8Pd2FuFSoMGcjerL7c%2FCzg%3D%3D;None;None;None;  https://www.mouser.tw/ProductDetail/MaxLinear/SP3232EEN-L?qs=H%252BP%2FcHWii3cxzh6f4Jel3Q%3D%3D;  None
IC_REF_5025IDGKT_VSSOP8;H8;REFERENCE;N/A;refrence ic with 5V or 2.5 output;https://www.digikey.tw/product-detail/zh/texas-instruments/REF5025IDGKT/296-24499-1-ND/2060771;None;None;None; None; None
IC_DIGITAL_74HC4052D_SO16;H8;DIGITAL;N/A;4 ch mux IC;https://www.digikey.tw/product-detail/zh/toshiba-semiconductor-and-storage/74HC4052D/74HC4052DCT-ND/;None;None;None; None; None
IC_LDO_LT3065HMSE_MSOP12;E3;LDO;N/A;IC REG LIN POS ADJ 500MA 12MSOP;https://www.digikey.tw/product-detail/zh/LT3065HMSE%23PBF/LT3065HMSE%23PBF-ND/;None;None;None; None; None
IC_LDO_LT3091HR_7DDPAK;H5;LDO;N/A;IC REG LIN NEG ADJ 1.5A 7DDPAK;https://www.digikey.tw/product-detail/zh/analog-devices-inc/LT3091HR-PBF/505-LT3091HR-PBF-ND/5432248;None;None;https://www.mouser.tw/ProductDetail/Analog-Devices/LT3091ERPBF?qs=sGAEpiMZZMuLLNXTG1MZatyj5S63XTnmXyPmRyrC42aQ0jyP1YkQBQ%3D%3D;   None;   None
IC_PWM_ADP2384ACPZN_LFCSP24;E3;PWM;N/A;IC REG BUCK ADJ 4A 24LFCSP;https://www.digikey.tw/zh/products/detail/analog-devices-inc/ADP2384ACPZN-R7/3758433;None;None;https://www.mouser.tw/ProductDetail/Analog-Devices/ADP2384ACPZN-R7?qs=%2Fha2pyFadujEe6vr7S7bPwJzMi%252BDCIuKP0ThllHh1Y%2FI31KbaQcJlw%3D%3D;  None;  None
IC_LDO_NCP135AMT040TBG_WDFN;E3;LDO;N/A;Postive 500mA low dropout LDO;https://www.digikey.tw/product-detail/zh/on-semiconductor/NCP135AMT040TBG/NCP135AMT040TBGOSCT-ND;None;None;None; None; None
IC_DAC_8718SPAG_TQFP64;H8;DAC;N/A;8 ch DAC IC with +/- 15V output;https://www.digikey.tw/product-detail/zh/texas-instruments/DAC8718SPAG/296-27423-5-ND/;None;None;None;  None;  None
IC_REF_AZ431LANTR-G1_SOT23;C5;REFERENCE;N/A;100mA linear LDO 1.24V to 18V;https://www.digikey.tw/product-detail/zh/diodes-incorporated/AZ431LANTR-G1/AZ431LANTR-G1DICT-ND;None;None;https://www.mouser.tw/ProductDetail/Diodes-Incorporated/AZ431LANTR-G1?qs=eSfX1CQlHqofs8CHA3JQaw==; https://www.digikey.tw/product-detail/zh/stmicroelectronics/TS3431ILT/497-8096-1-ND/1883735;https://www.mouser.tw/ProductDetail/onsemi/TLV431CSN1T1G?qs=dbuNSGnowt1DjYMSHayOCQ%3D%3D
MOS_N/P_SI4559ADY_60V_5.3A_SO8;E3;MOS;N/A;MOSFET N/P-CH 60V 5.3A 8-SOIC;https://www.digikey.tw/product-detail/zh/vishay-siliconix/SI4559ADY-T1-GE3/SI4559ADY-T1-GE3CT-ND;None;None;https://www.digikey.tw/product-detail/en/alpha-omega-semiconductor-inc/AO4611/785-1203-1-ND/2353921; https://www.digikey.tw/product-detail/en/infineon-technologies/AUIRF7343QTR/AUIRF7343QCT-ND/6559909;https://www.mouser.tw/ProductDetail/Vishay-Semiconductors/SI4559ADY-T1-E3?qs=G1LhLIAbs1yiXElVY9RYcg%3D%3D
BJT_NPN_2SC3906KT146S_120V_0.05A_SOT23;E3;BJT;N/A;TRANS NPN 120V 0.05A SOT-346;https://www.digikey.tw/product-detail/zh/rohm-semiconductor/2SC3906KT146S/2SC3906KT146SCT-ND;;;;;
CON_SMA_180;E4-1;CONNECTOR;N/A;N/A;Guang Hua;None;None;None;   None;   None
CON_WAFER_2.54_6P_M_180;紙箱;CONNECTOR;N/A;2.54mm 6P male connector;https://knowing-tech.com/product/2545m06/;None;None;None; None; None
CON_WAFER_2.54_3P_M_180;紙箱;CONNECTOR;N/A;2.54mm 3P male connector;https://knowing-tech.com/product/2545m03/;None;None;None; None; None
